,Name,Requested Action Group
300A0676,Equipment Frame of Reference Description,X
00120087,Ethics Committee Approval Effectiveness End Date,C
00120086,Ethics Committee Approval Effectiveness Start Date,C
00102160,Ethnic Group,X
00189804,Exclusion Start DateTime,C
00404011,Expected Completion DateTime,C
00080058,Failed SOP Instance UID List,X
0070031A,Fiducial UID,X
00402017,Filler Order Number / Imaging Service Request,X
003A032B,Filter Lookup Table Description,X
0040A023,Findings Group Recording Date (Trial),C
0040A024,Findings Group Recording Time (Trial),C
30080054,First Treatment Date,C
300A0196,Fixation Device Description,X
00340002,Flow Identifier,X
00340001,Flow Identifier Sequence,X
300A0072,Fraction Group Description,X
3010007F,Fractionation Notes,X
00189074,Frame Acquisition DateTime,C
00209158,Frame Comments,X
00340007,Frame Origin Timestamp,C
00189151,Frame Reference DateTime,C
00200052,Frame of Reference UID,X
00189623,Functional Sync Pulse,C
00160076,GPS Altitude​,X
00160075,GPS Altitude​ Ref,X
0016008C,GPS Area ​Information,X
0016007B,GPS DOP,X
0016008D,GPS Date​ Stamp,C
00160088,GPS Dest ​Bearing,X
0016008A,GPS Dest ​Distance,X
00160089,GPS Dest ​Distance Ref,X
00160086,GPS Dest ​Longitude,X
00160085,GPS Dest ​Longitude Ref,X
00160087,GPS Dest​ Bearing Ref,X
00160084,GPS Dest​ Latitude,X
00160083,GPS Dest​ Latitude Ref,X
0016008E,GPS Differential,X
00160081,GPS Img ​Direction,X
00160080,GPS Img​ Direction Ref,X
00160072,GPS Latitude​,X
00160071,GPS Latitude​ Ref,X
00160074,GPS Longitude,X
00160073,GPS Longitude Ref,X
00160082,GPS Map​ Datum,X
0016007A,GPS Measure ​Mode,X
0016008B,GPS Processing​ Method,X
00160078,GPS Satellites,X
0016007D,GPS Speed​,X
0016007C,GPS Speed​ Ref,X
00160079,GPS Status,X
00160077,GPS Time​ Stamp,X
0016007F,GPS Track,X
0016007E,GPS Track ​Ref,X
00160070,GPS Version ID,X
00181008,Gantry ID,K
00181005,Generator ID,K
00700001,Graphic Annotation Sequence,X
0040E004,HL7 Document Effective Time,C
0072000A,Hanging Protocol Creation DateTime,C
00404037,Human Performer's Name,X
00404036,Human Performer's Organization,X
00880200,Icon Image Sequence  (see Note 11),X
00084000,Identifying Comments,X
00204000,Image Comments,X
00284000,Image Presentation Comments,X
00402400,Imaging Service Request Comments,X
003A0314,Impedance Measurement DateTime,C
40080300,Impressions,X
00686270,Information Issue DateTime,C
00080015,Instance Coercion DateTime,C
00080012,Instance Creation Date,C
00080013,Instance Creation Time,C
00080014,Instance Creator UID,X
04000600,Instance Origin Status,X
00080081,Institution Address,X
00080082,Institution Code Sequence,X
00080080,Institution Name,X
00081040,Institutional Department Name,X
00081041,Institutional Department Type Code Sequence,X
00189919,Instruction Performed DateTime,C
00101050,Insurance Plan Identification,X
30100085,Intended Fraction Start Time,C
3010004D,Intended Phase End Date,C
3010004C,Intended Phase Start Date,C
00401011,Intended Recipients of Results Identification Sequence,X
300A0741,Interlock DateTime,C
300A0742,Interlock Description,X
300A0783,Interlock Origin Description,X
40080112,Interpretation Approval Date,C
40080113,Interpretation Approval Time,C
40080111,Interpretation Approver Sequence,X
4008010C,Interpretation Author,X
40080115,Interpretation Diagnosis Description,X
40080200,Interpretation ID,X
40080202,Interpretation ID Issuer,X
40080100,Interpretation Recorded Date,C
40080101,Interpretation Recorded Time,C
40080102,Interpretation Recorder,X
4008010B,Interpretation Text,X
4008010A,Interpretation Transcriber,X
40080108,Interpretation Transcription Date,C
40080109,Interpretation Transcription Time,C
00180035,Intervention Drug Start Time,C
00180027,Intervention Drug Stop Time,C
00083010,Irradiation Event UID,X
00402004,Issue Date of Imaging Service Request,C
00402005,Issue Time of Imaging Service Request,C
00380011,Issuer of Admission ID,X
00380014,Issuer of Admission ID Sequence,X
00100021,Issuer of Patient ID,X
00380061,Issuer of Service Episode ID,X
00380064,Issuer of Service Episode ID Sequence,X
00400513,Issuer of the Container Identifier Sequence,X
00400562,Issuer of the Specimen Identifier Sequence,X
22000002,Label Text,X
00281214,Large Palette Color Lookup Table UID,X
001021D0,Last Menstrual Date,C
0016004F,Lens Make,K
00160050,Lens Model,K
00160051,Lens Serial Number,K
0016004E,Lens Specification,K
00500021,Long Device Description,X
04000404,MAC,X
0016002B,Maker Note,X
0018100B,Manufacturer's Device Class UID,K
30100043,Manufacturer's Device Identifier,K
00020003,Media Storage SOP Instance UID,X
00102000,Medical Alerts,X
00101090,Medical Record Locator,X
00101080,Military Rank,X
04000550,Modified Attributes Sequence,X
00203403,Modified Image Date,C
00203406,Modified Image Description,X
00203405,Modified Image Time,C
00203401,Modifying Device ID,K
04000563,Modifying System,K
30080056,Most Recent Treatment Date,C
0018937B,Multi-energy Acquisition Description,X
003A0310,Multiplex Group UID,X
00081060,Name of Physician(s) Reading Study,X
00401010,Names of Intended Recipients of Results,X
00081000,Network ID,K
04000552,Nonconforming Data Element Value,X
04000551,Nonconforming Modified Attributes Sequence,X
0040A192,Observation Date (Trial),C
0040A032,Observation DateTime,C
0040A033,Observation Start DateTime,C
0040A402,Observation Subject UID (Trial),X
0040A193,Observation Time (Trial),C
0040A171,Observation UID,X
00102180,Occupation,X
00081072,Operator Identification Sequence,X
00081070,Operators' Name,X
00402010,Order Callback Phone Number,X
00402011,Order Callback Telecom Information,X
00402008,Order Entered By,X
00402009,Order Enterer's Location,X
04000561,Original Attributes Sequence,X
21000070,Originator,K
00101000,Other Patient IDs,X
00101002,Other Patient IDs Sequence,X
00101001,Other Patient Names,X
60xx4000,Overlay Comments,X
60xx3000,Overlay Data,X
00080024,Overlay Date,C
00080034,Overlay Time,C
300A0760,Override DateTime,C
00281199,Palette Color Lookup Table UID,X
0040A07A,Participant Sequence,X
0040A082,Participation DateTime,C
00104000,Patient Comments,X
00100020,Patient ID,Z
300A0794,Patient Setup Photo Description,X
300A0650,Patient Setup UID,X
00380500,Patient State,X
00401004,Patient Transport Arrangements,X
300A0792,Patient Treatment Preparation Method Description,X
300A078E,Patient Treatment Preparation Procedure Parameter Description,X
00101040,Patient's Address,X
00101010,Patient's Age,X
00100030,Patient's Birth Date,X
00101005,Patient's Birth Name,X
00100032,Patient's Birth Time,X
00380400,Patient's Institution Residence,X
00100050,Patient's Insurance Plan Code Sequence,X
00101060,Patient's Mother's Birth Name,X
00100010,Patient's Name,Z
00100101,Patient's Primary Language Code Sequence,X
00100102,Patient's Primary Language Modifier Code Sequence,X
001021F0,Patient's Religious Preference,X
00100040,Patient's Sex,X
00102203,Patient's Sex Neutered,X
00101020,Patient's Size,X
00102155,Patient's Telecom Information,X
00102154,Patient's Telephone Numbers,X
00101030,Patient's Weight,X
00400243,Performed Location,X
00400254,Performed Procedure Step Description,X
00400250,Performed Procedure Step End Date,C
00404051,Performed Procedure Step End DateTime,C
00400251,Performed Procedure Step End Time,C
00400253,Performed Procedure Step ID,X
00400244,Performed Procedure Step Start Date,C
00404050,Performed Procedure Step Start DateTime,C
00400245,Performed Procedure Step Start Time,C
00400241,Performed Station AE Title,K
00404030,Performed Station Geographic Location Code Sequence,K
00400242,Performed Station Name,K
00404028,Performed Station Name Code Sequence,K
00081052,Performing Physician Identification Sequence,X
00081050,Performing Physician's Name,X
00401101,Person Identification Code Sequence,X
0040A123,Person Name,X
00401102,Person's Address,X
00401104,Person's Telecom Information,X
00401103,Person's Telephone Numbers,X
40080114,Physician Approving Interpretation,X
00081062,Physician(s) Reading Study Identification Sequence,X
00081048,Physician(s) of Record,X
00081049,Physician(s) of Record Identification Sequence,X
00402016,Placer Order Number / Imaging Service Request,X
00181004,Plate ID,K
30020123,Position Acquisition Template Description,X
30020121,Position Acquisition Template Name,X
00400012,Pre-Medication,X
001021C0,Pregnancy Status,X
300A000E,Prescription Description,X
3010007B,Prescription Notes,X
30100081,Prescription Notes Sequence,X
00700082,Presentation Creation Date,C
00700083,Presentation Creation Time,C
00701101,Presentation Display Collection UID,X
00701102,Presentation Sequence Collection UID,X
30100061,Prior Treatment Dose Description,X
ggggeeee where gggg is odd,Private Attributes,K
00404052,Procedure Step Cancellation DateTime,C
0044000B,Product Expiration DateTime,C
00181030,Protocol Name,X
00081088,Pyramid Description,X
00200027,Pyramid Label,X
00080019,Pyramid UID,X
30060028,ROI Description,X
30060038,ROI Generation Description,X
300600A6,ROI Interpreter,X
30060026,ROI Name,X
30060088,ROI Observation Description,X
30060085,ROI Observation Label,X
300A0615,RT Accessory Device Slot ID,X
300A0611,RT Accessory Holder Slot ID,X
3010005A,RT Physician Intent Narrative,X
300A0006,RT Plan Date,C
300A0004,RT Plan Description,X
300A0002,RT Plan Label,X
300A0003,RT Plan Name,X
300A0007,RT Plan Time,C
30100054,RT Prescription Label,X
300A062A,RT Tolerance Set Label,X
30100056,RT Treatment Approach Label,X
3010003B,RT Treatment Phase UID,X
300A0619,Radiation Dose Identification Label,X
300A0623,Radiation Dose In-Vivo Measurement Label,X
300A067D,Radiation Generation Mode Description,X
300A067C,Radiation Generation Mode Label,X
00181078,Radiopharmaceutical Start DateTime,C
00181072,Radiopharmaceutical Start Time,C
00181079,Radiopharmaceutical Stop DateTime,C
00181073,Radiopharmaceutical Stop Time,C
300C0113,Reason for Omission Description,X
0040100A,Reason for Requested Procedure Code Sequence,X
00321030,Reason for Study,X
3010005C,Reason for Superseding,X
00321066,Reason for Visit,X
00321067,Reason for Visit Code Sequence,X
04000565,Reason for the Attribute Modification,X
00402001,Reason for the Imaging Service Request,X
00401002,Reason for the Requested Procedure,X
00741234,Receiving AE,K
300A073A,Recorded RT Control Point DateTime,C
3010000B,Referenced Conceptual Volume UID,X
0040A13A,Referenced DateTime,C
04000402,Referenced Digital Signature Sequence,X
300A0083,Referenced Dose Reference UID,X
3010006F,Referenced Dosimetric Objective UID,X
30100031,Referenced Fiducials UID,X
30060024,Referenced Frame of Reference UID,X
00404023,Referenced General Purpose Scheduled Procedure Step Transaction UID,X
00081140,Referenced Image Sequence,X
0040A172,Referenced Observation UID (Trial),X
00380004,Referenced Patient Alias Sequence,X
00101100,Referenced Patient Photo Sequence,X
00081120,Referenced Patient Sequence,X
00081111,Referenced Performed Procedure Step Sequence,X
04000403,Referenced SOP Instance MAC Sequence,X
00081155,Referenced SOP Instance UID,X
00041511,Referenced SOP Instance UID in File,X
00081110,Referenced Study Sequence,X
300A0785,Referenced Treatment Position Group UID,X
00080096,Referring Physician Identification Sequence,X
00080092,Referring Physician's Address,X
00080090,Referring Physician's Name,X
00080094,Referring Physician's Telephone Numbers,X
00102152,Region of Residence,X
300600C2,Related Frame of Reference UID,X
00400275,Request Attributes Sequence,X
00321070,Requested Contrast Agent,X
00401400,Requested Procedure Comments,X
00321060,Requested Procedure Description,X
00401001,Requested Procedure ID,X
00401005,Requested Procedure Location,X
00001001,Requested SOP Instance UID,X
00189937,Requested Series Description,X
00741236,Requesting AE,K
00321032,Requesting Physician,X
00321033,Requesting Service,X
00189185,Respiratory Motion Compensation Technique Description,X
00102299,Responsible Organization,X
00102297,Responsible Person,X
40084000,Results Comments,X
40080118,Results Distribution List Sequence,X
40080040,Results ID,X
40080042,Results ID Issuer,X
00080054,Retrieve AE Title,K
300E0004,Review Date,C
300E0005,Review Time,C
300E0008,Reviewer Name,X
01000420,SOP Authorization DateTime,C
00080018,SOP Instance UID,X
30080162,Safe Position Exit Date,C
30080164,Safe Position Exit Time,C
30080166,Safe Position Return Date,C
30080168,Safe Position Return Time,C
0038001A,Scheduled Admission Date,C
0038001B,Scheduled Admission Time,C
0038001C,Scheduled Discharge Date,C
0038001D,Scheduled Discharge Time,C
00404034,Scheduled Human Performers Sequence,X
0038001E,Scheduled Patient Institution Residence,X
0040000B,Scheduled Performing Physician Identification Sequence,X
00400006,Scheduled Performing Physician's Name,X
00400007,Scheduled Procedure Step Description,X
00400004,Scheduled Procedure Step End Date,C
00400005,Scheduled Procedure Step End Time,C
00404008,Scheduled Procedure Step Expiration DateTime,C
00400009,Scheduled Procedure Step ID,X
00400011,Scheduled Procedure Step Location,K
00404010,Scheduled Procedure Step Modification DateTime,C
00400002,Scheduled Procedure Step Start Date,C
00404005,Scheduled Procedure Step Start DateTime,C
00400003,Scheduled Procedure Step Start Time,C
00400001,Scheduled Station AE Title,K
00404027,Scheduled Station Geographic Location Code Sequence,K
00400010,Scheduled Station Name,K
00404025,Scheduled Station Name Code Sequence,K
00321020,Scheduled Study Location,K
00321021,Scheduled Study Location AE Title,K
00321000,Scheduled Study Start Date,C
00321001,Scheduled Study Start Time,C
00321010,Scheduled Study Stop Date,C
00321011,Scheduled Study Stop Time,C
0072005E,Selector AE Value,K
0072005F,Selector AS Value,X
00720061,Selector DA Value,C
00720063,Selector DT Value,C
00720066,Selector LO Value,X
00720068,Selector LT Value,X
00720065,Selector OB Value,X
0072006A,Selector PN Value,X
0072006C,Selector SH Value,X
0072006E,Selector ST Value,X
0072006B,Selector TM Value,C
0072006D,Selector UN Value,X
00720071,Selector UR Value,X
00720070,Selector UT Value,X
00080021,Series Date,C
0008103E,Series Description,X
0020000E,Series Instance UID,X
00080031,Series Time,C
00380062,Service Episode Description,X
00380060,Service Episode ID,X
300A01B2,Setup Technique Description,X
300A01A6,Shielding Device Description,X
004006FA,Slide Identifier,X
001021A0,Smoking Status,X
30100015,Source Conceptual Volume UID,X
0018936A,Source End DateTime,C
00640003,Source Frame of Reference UID,X
00340005,Source Identifier,X
00082112,Source Image Sequence,X
300A0216,Source Manufacturer,K
30080105,Source Serial Number,K
00189369,Source Start DateTime,C
300A022C,Source Strength Reference Date,C
300A022E,Source Strength Reference Time,C
04000564,Source of Previous Values,X
00380050,Special Needs,X
0040050A,Specimen Accession Number,X
00400602,Specimen Detailed Description,X
00400551,Specimen Identifier,X
00400610,Specimen Preparation Sequence,X
00400600,Specimen Short Description,X
00400554,Specimen UID,X
00189516,Start Acquisition DateTime,C
00080055,Station AE Title,K
00081010,Station Name,K
00880140,Storage Media File-set UID,X
30060008,Structure Set Date,C
30060006,Structure Set Description,X
30060002,Structure Set Label,X
30060004,Structure Set Name,X
30060009,Structure Set Time,C
00321040,Study Arrival Date,C
00321041,Study Arrival Time,C
00324000,Study Comments,X
00321050,Study Completion Date,C
00321051,Study Completion Time,C
00080020,Study Date,C
00081030,Study Description,X
00200010,Study ID,X
00320012,Study ID Issuer,X
0020000D,Study Instance UID,X
00320034,Study Read Date,C
00320035,Study Read Time,C
00080030,Study Time,C
00320032,Study Verified Date,C
00320033,Study Verified Time,C
00440010,Substance Administration DateTime,C
00200200,Synchronization Frame of Reference UID,X
00182042,Target UID,X
0040A354,Telephone Number (Trial),X
0040DB0D,Template Extension Creator UID,X
0040DB0C,Template Extension Organization UID,X
0040DB07,Template Local Version,C
0040DB06,Template Version,C
40004000,Text Comments,X
20300020,Text String,X
0040A122,Time,C
0040A112,Time of Document Creation or Verbal Transaction (Trial),C
00181201,Time of Last Calibration,C
0018700E,Time of Last Detector Calibration,C
00181014,Time of Secondary Capture,C
00080201,Timezone Offset From UTC,C
00880910,Topic Author,X
00880912,Topic Keywords,X
00880906,Topic Subject,X
00880904,Topic Title,X
00620021,Tracking UID,X
00081195,Transaction UID,X
00185011,Transducer Identification Sequence,K
30080024,Treatment Control Point Date,C
30080025,Treatment Control Point Time,C
30080250,Treatment Date,C
300A00B2,Treatment Machine Name,K
300A0608,Treatment Position Group Label,X
300A0609,Treatment Position Group UID,X
300A0700,Treatment Session UID,X
30100077,Treatment Site,X
300A000B,Treatment Sites,X
3010007A,Treatment Technique Notes,X
30080251,Treatment Time,C
300A0736,Treatment Tolerance Violation DateTime,C
300A0734,Treatment Tolerance Violation Description,X
0018100A,UDI Sequence,K
0040A124,UID,X
00181009,Unique Device Identifier,K
30100033,User Content Label,X
30100034,User Content Long Label,X
0040A352,Verbal Source (Trial),X
0040A358,Verbal Source Identifier Code Sequence (Trial),X
0040A030,Verification DateTime,C
0040A088,Verifying Observer Identification Code Sequence,X
0040A075,Verifying Observer Name,X
0040A073,Verifying Observer Sequence,X
0040A027,Verifying Organization,X
00384000,Visit Comments,X
00189371,X-Ray Detector ID,K
00189373,X-Ray Detector Label,K
00189367,X-Ray Source ID,K
003A0329,​Waveform Filter Description,X
